X,Y,OBJECTID,ENDERECO,NUMERO,photo,tx_bairro
-43.1125697546141,-22.8800909047894,113,Sem Nome,0,sinalização turística _20170505_1410231035065171.jpg,
-43.1137357971897,-22.881439189715,114,Governador Roberto Silveira,0,sinalização turística _20170505_141154513726805.jpg,
-43.1137820444646,-22.8815464314019,115,Governador Roberto Silveira,0,sinalização turística _20170505_141352-1689666446.jpg,
-43.1192303179516,-22.8838019675732,116,Feliciano Sodre,273,sinalização turística _20170505_141846128572104.jpg,
-43.1214788831268,-22.8846530274689,117,Feliciano Sodre,1985,sinalização turística _20170505_1419421593169978.jpg,
-43.1243550974299,-22.88547696109,118,Feliciano Sodre,21,sinalização turística _20170505_142224-407823937.jpg,
-43.124738229059,-22.8855353646787,119,Feliciano Sodre,0,sinalização turística _20170505_142317-1640267546.jpg,
-43.1271343637529,-22.8886726797861,120,Doze,167,sinalização turística _20170505_142522-88451039.jpg,
-43.1252875036916,-22.887779879312,121,Saldanha Marinho,3,sinalização turística _20170505_142734690518764.jpg,
-43.1232983050845,-22.8873197410707,122,Saldanha Marinho,50,sinalização turística _20170505_1428301484566093.jpg,
-43.1227322963634,-22.8871217130554,123,Saldanha Marinho,74,sinalização turística _20170505_1429351973011082.jpg,
-43.1224600440958,-22.886975735706,124,Saldanha Marinho,87,sinalização turística _20170505_143046-718166362.jpg,
-43.1223685241227,-22.8869904944142,125,Saldanha Marinho,95,sinalização turística _20170505_143131-1496362554.jpg,
-43.1217635953785,-22.9023589340788,126,Doutor Paulo Alves,126,sinalização turística _20170507_1427162032511206.jpg,
-43.1218445735123,-22.9022855877675,127,Doutor Paulo Alves,117,sinalização turística _20170507_1428351541571557.jpg,
-43.1049590027584,-22.9036054395117,128,Domingues de Sá,293,sinalização turística _20170510_11273769963029.jpg,
-43.10646850296,-22.9048635616959,129,Domingues de Sá,218,sinalização turística _20170510_113115-587060138.jpg,
-43.0980521768687,-22.9026603825093,130,Doutor Mario Viana,273,sinalização turística _20170511_13345369963029.jpg,
-43.0993090198508,-22.9018768500757,131,Santa Rosa,207,sinalização turística _20170511_133632-587060138.jpg,
-43.1011518135454,-22.9005777308788,132,Santa Rosa,125,sinalização turística _20170511_13384784142249.jpg,
-43.1052656629847,-22.8989968981277,133,Presidente Backer,432,sinalização turística _20170511_134240-308080081.jpg,
-43.1107539813068,-22.8992972215857,134,Governador Roberto Silveira,2,sinalização turística _20170511_13484269963029.jpg,
-43.1110666551831,-22.8992180907504,135,Governador Roberto Silveira,25,sinalização turística _20170511_135118-587060138.jpg,
-43.1115821061734,-22.9007031789648,136,Mem de Sa,35,sinalização turística _20170511_13534084142249.jpg,
-43.1094745256468,-22.9026311240115,137,Mem de Sa,140,sinalização turística _20170511_135640-308080081.jpg,
-43.1089418687815,-22.9031642046888,138,Mem de Sa,163,sinalização turística _20170511_135822-1764551714.jpg,
-43.1133486847296,-22.8942328136336,139,Marques de Parana,233,sinalização turística _20170511_14075269963029.jpg,
-43.1227583403,-22.8972298319889,140,Almirante Teffe,690,sinalização turística _20170511_14422169963029.jpg,
-43.1260667798001,-22.8995420854576,141,Rua Andrades Neves,230,sinalização turística _20170511_144536-587060138.jpg,
-43.1280281549372,-22.8976573376438,142,Av Rio Branco,680,sinalização turística _20170511_14501984142249.jpg,
-43.1280349562685,-22.8975094971155,143,Professor Hernani Pires de Melo,0,sinalização turística _20170511_145241-308080081.jpg,
-43.1253472178528,-22.8956784411596,144,Visconde do Rio Branco,307,sinalização turística _20170511_145724-1764551714.jpg,
-43.1299139207882,-22.8972596612281,145,Visconde do Rio Branco,820,sinalização turística _20170511_150031431633784.jpg,
-43.1340789943137,-22.9017335778158,146,Coronel Tamarindo,87,sinalização turística _20170511_150409-1354890956.jpg,
-43.1307069946621,-22.9084394581105,147,Almirante Benjamin Sodre,0,sinalização turística _20170511_15105269963029.jpg,
-43.1298333917747,-22.9077478184829,148,Antonio Paneiras,125,sinalização turística _20170511_151444-587060138.jpg,
-43.0677568005259,-22.9061724561491,149,Rua Padre Pedro Martinotti,763,sinalização turística _20170511_15272769963029.jpg,
-43.0649899849018,-22.9076258648827,150,Jornalista Silva Thomé,1925,sinalização turística _20170511_152825-587060138.jpg,
-43.0957744801845,-22.9032901195068,151,Doutor Mario Viana,359,sinalização turística _20170511_15314884142249.jpg,
-43.1256272754369,-22.9058602915108,152,Almirante Benjamin Sodre,8,sinalização turística _20170511_153430-308080081.jpg,
-43.1249593693524,-22.9054198703502,153,Almirante Benjamin Sodre,29,sinalização turística _20170511_153839-1764551714.jpg,
-43.1230623273403,-22.9037296018604,154,Presidente  Pedreira,186,sinalização turística _20170511_154036431633784.jpg,
-43.1241742471265,-22.9036382695354,155,Presidente  Pedreira,135,sinalização turística _20170511_154219-1354890956.jpg,
-43.1296710073933,-22.9044488940905,156,Presidente  Domiciano,102,sinalização turística _20170511_154400-203417009.jpg,
-43.130218558575,-22.903538861621,157,Passo da Patria,137,sinalização turística _20170511_154524-818885393.jpg,
-43.130914162515,-22.9019012792803,158,Passo da Patria,48,sinalização turística _20170511_1551241587945718.jpg,
-43.1317638274522,-22.9009642902864,159,Passo da Patria,73,sinalização turística _20170511_1554091460206124.jpg,
-43.131075473526,-22.9015942110552,160,Passo da Patria,34,sinalização turística _20170511_1555382117252497.jpg,
-43.1272283453612,-22.9029215935296,161,Professor Lara Vilela,210,sinalização turística _20170511_155642-2045310237.jpg,
-43.1268142934789,-22.9017881590274,162,Tiradentes,12,sinalização turística _20170511_1601191628081059.jpg,
-43.1261277556297,-22.9018489229793,163,Tiradentes,47,sinalização turística _20170511_160211761416642.jpg,
-43.1258131822337,-22.9017652021534,164,Tiradentes,54,sinalização turística _20170511_160451103342705.jpg,
-43.1246135175012,-22.9012372311694,165,Tiradentes,103,sinalização turística _20170511_16374469963029.jpg,
-43.1254366737671,-22.90156479356,166,Tiradentes,107,sinalização turística _20170511_163837-587060138.jpg,
-43.1253644467231,-22.9011533586077,167,Visconde de Morais,170,sinalização turística _20170511_16451369963029.jpg,
-43.1035184934816,-22.9069876934196,168,Sete de Setembro,75,sinalização turística _20170512_10261969963029.jpg,
-43.103557855074,-22.9072405234426,169,Sete de Setembro,61,sinalização turística _20170512_102802-587060138.jpg,
-43.0977403163025,-22.9057447617767,170,Maestro José Botelho,504,sinalização turística _20170512_10291184142249.jpg,
-43.1153796278858,-22.8859771159943,171,Jansen de Melo,823,sinalização turística _20170512_103105-308080081.jpg,
-43.1153275815195,-22.886238407403,172,Jansen de Melo,797,sinalização turística _20170512_103505-1764551714.jpg,
-43.1152812566084,-22.8864580112311,173,Jansen de Melo,795,sinalização turística _20170512_103624431633784.jpg,
-43.1157600060562,-22.8869243439503,174,Professor Heitor Carrilho,11,sinalização turística _20170512_103734-1354890956.jpg,
-43.1148850110878,-22.8879404159205,175,Jansen de Melo,613,sinalização turística _20170512_103945-203417009.jpg,
-43.11443504122,-22.8897139407695,176,Jansen de Melo,106,,
-43.1143356448524,-22.8902498072304,177,Jansen de Melo,114,sinalização turística _20170512_123241635053427.jpg,
-43.1135113738445,-22.8926516846254,178,Marque de Parana,1931,sinalização turística _20170512_123426-150131446.jpg,
-43.0674350003487,-22.9117316665487,179,Engenheiro Pacheco de Carvalho,1299,sinalização turística _20170512_123909-2116665127.jpg,
-43.0654050000367,-22.9300833329772,180,Francisco da Cruz Nunes,4718,sinalização turística _20170512_1240121349668793.jpg,
-43.0657500000958,-22.9303949985746,181,Francisco da Cruz Nunes,4764,sinalização turística _20170512_1241111869587084.jpg,
-43.0665733341052,-22.9312249990627,182,Francisco da Cruz Nunes,4764,sinalização turística _20170512_124450-1887675063.jpg,
-43.066803333818,-22.9327583325827,183,Francisco da Cruz Nunes,5140,sinalização turística _20170512_124608-909749130.jpg,
-43.0582883326336,-22.9407516660586,184,Francisco da Cruz Nunes,0,sinalização turística _20170512_1248381448742133.jpg,
-43.0540150000142,-22.9412183325742,185,Francisco da Cruz Nunes,0,sinalização turística _20170512_124946-1463585663.jpg,
-43.0422849994837,-22.9409849990876,186,Francisco da Cruz Nunes,0,sinalização turística _20170512_125101-290469264.jpg,
-43.0377266663547,-22.9428049991178,187,Francisco da Cruz Nunes,0,sinalização turística _20170512_1251331216667518.jpg,
-43.033391667271,-22.9455683323051,188,Francisco da Cruz Nunes,9190,sinalização turística _20170512_125616170089928.jpg,
-43.0329849996269,-22.9458749997197,189,Francisco da Cruz Nunes,9190,sinalização turística _20170512_125917-1756018416.jpg,
-43.0319549997807,-22.9636349990084,190,Francisco da Cruz Nunes,4340,sinalização turística _20170512_130108-1457971118.jpg,
